#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
3.1%	63000	629.9999999995721	541.9689820204511	1758.4576262415126	2300.426608261964	503.55676178787735	1.97e+04	1:24
3.2%	64000	639.999999999563	488.6567899037036	1862.0615439655821	2350.7183338692857	533.2250645886551	1.97e+04	1:24
3.2%	65000	649.9999999995539	459.1290679668775	1857.8965290430785	2317.025597009956	532.0323594612322	1.97e+04	1:24
3.3%	66000	659.9999999995448	484.5392947182336	1805.6346613809346	2290.173956099168	517.0665073120481	1.98e+04	1:24
3.4%	67000	669.9999999995357	459.708118750164	1856.2505952020883	2315.9587139522523	531.5610253200408	1.98e+04	1:24
3.4%	68000	679.9999999995266	465.5741366962211	1833.9587194996634	2299.5328561958845	525.1774624889684	1.98e+04	1:24
3.5%	69000	689.9999999995175	446.61650202180317	1756.5694842331773	2203.1859862549804	503.01606824978785	1.98e+04	1:24
3.5%	70000	699.9999999995084	529.767936431248	1656.3664877721615	2186.1344242034093	474.32166261477755	1.98e+04	1:24
3.5%	71000	709.9999999994993	460.07311879943063	1679.4972709294489	2139.5703897288795	480.94545729170505	1.98e+04	1:24
3.6%	72000	719.9999999994902	439.83005271291313	1684.39623959545	2124.226292308363	482.3483394315634	1.98e+04	1:24
3.6%	73000	729.9999999994811	472.8764155632239	1633.8754792339244	2106.7518947971485	467.8810755572065	1.98e+04	1:24
3.7%	74000	739.999999999472	514.1746150295367	1577.4220268295783	2091.596641859115	451.7149096739609	1.98e+04	1:23
3.8%	75000	749.999999999463	436.3195390071287	1717.5487183109938	2153.8682573181222	491.8419744092355	1.98e+04	1:23
3.8%	76000	759.9999999994538	492.00482321975505	1654.3197309067968	2146.324554126552	473.73554769002214	1.98e+04	1:23
3.9%	77000	769.9999999994448	445.02300520860626	1727.2593425313116	2172.282347739918	494.6227354661702	1.98e+04	1:23
3.9%	78000	779.9999999994357	507.13057758776233	1640.6201631116455	2147.7507406994077	469.8125017809975	1.98e+04	1:23
4.0%	79000	789.9999999994266	418.9094297490665	1652.07934582245	2070.9887755715163	473.09398485598166	1.98e+04	1:23
4.0%	80000	799.9999999994175	458.47076183513127	1606.8922651816588	2065.36302701679	460.1540881746161	1.98e+04	1:23
4.0%	81000	809.9999999994084	342.3519262845857	1742.124998839329	2084.476925123915	498.8797056886012	1.99e+04	1:23
4.1%	82000	819.9999999993993	355.81608491629595	1712.5488833054983	2068.3649682217942	490.41020790700696	1.99e+04	1:23
4.2%	83000	829.9999999993902	407.39383826155915	1723.0678987308754	2130.4617369924345	493.4224620925805	1.99e+04	1:23
4.2%	84000	839.9999999993811	394.1392684446855	1768.6672458235814	2162.806514268267	506.480416528891	1.99e+04	1:23
4.2%	85000	849.999999999372	523.5589496091416	1683.219590316837	2206.7785399259783	482.01139090823455	1.99e+04	1:23
4.3%	86000	859.9999999993629	391.7663216621513	1790.9977723006916	2182.7640939628427	512.8750475020958	1.99e+04	1:23
4.3%	87000	869.9999999993538	369.7353994436771	1909.0581435499819	2278.793542993659	546.6831400910736	1.99e+04	1:23
4.4%	88000	879.9999999993447	467.11390721072894	1712.9912467683978	2180.105153979127	490.53688432478737	1.99e+04	1:23
4.5%	89000	889.9999999993356	438.52684260293245	1724.0007240150815	2162.527566618014	493.6895885063301	1.99e+04	1:22
4.5%	90000	899.9999999993265	440.3848042313766	1760.6111084747492	2200.9959127061256	504.1734388824821	1.99e+04	1:22
4.5%	91000	909.9999999993174	454.6861515869108	1818.1872163194562	2272.873367906367	520.6610914650462	1.99e+04	1:22
4.6%	92000	919.9999999993083	444.7951165324339	1837.5618662143145	2282.356982746748	526.209269491196	1.99e+04	1:22
4.7%	93000	929.9999999992992	464.99476079069063	1860.7686792610068	2325.763440051697	532.8548362963435	1.99e+04	1:22
4.7%	94000	939.9999999992901	527.8214617082267	1803.8610110391382	2331.682472747365	516.5585999224525	1.99e+04	1:22
4.8%	95000	949.999999999281	462.8151586234653	1845.0264209869601	2307.8415796104255	528.3468399241757	1.99e+04	1:22
4.8%	96000	959.999999999272	500.0224395952864	1821.0052852199974	2321.027724815284	521.4680814253812	1.99e+04	1:22
4.8%	97000	969.9999999992629	518.0943557126157	1804.194438182559	2322.2887938951744	516.6540810362009	1.99e+04	1:22
4.9%	98000	979.9999999992538	469.4504565307434	1854.7043679417998	2324.154824472543	531.1182434295023	1.99e+04	1:22
5.0%	99000	989.9999999992447	473.1396969285197	1828.0842122667698	2301.2239091952897	523.4952224422645	2e+04	1:22
5.0%	100000	999.9999999992356	472.87388248206116	1816.7113723601826	2289.5852548422436	520.2384647301476	2e+04	1:22
5.0%	101000	1009.9999999992265	464.0129714044284	1781.8855680255467	2245.8985394299752	510.2656516263765	2e+04	1:22
5.1%	102000	1019.9999999992174	438.6653427103083	1832.497704300371	2271.1630470106793	524.7590821585586	2e+04	1:22
5.2%	103000	1029.9999999992083	411.822926855536	1822.7610959088593	2234.5840227643953	521.9708802029019	2e+04	1:22
5.2%	104000	1039.9999999991992	411.69177371992555	1777.314379904664	2189.0061536245894	508.9566336248482	2e+04	1:22
5.2%	105000	1049.99999999919	414.18363996267726	1750.5369161835633	2164.7205561462406	501.2885654729246	2e+04	1:22
5.3%	106000	1059.999999999181	492.30922359505644	1686.1389026035683	2178.448126198625	482.8473732030687	2e+04	1:22
5.3%	107000	1069.999999999172	457.5781181022321	1690.8685104055496	2148.4466285077815	484.20175670014663	2e+04	1:21
5.4%	108000	1079.9999999991628	505.55863190166565	1674.8329015841546	2180.39153348582	479.6097556584964	2e+04	1:21
5.5%	109000	1089.9999999991537	446.85902858232294	1773.711283633716	2220.570312216039	507.9248410678182	2e+04	1:21
5.5%	110000	1099.9999999991446	431.53623667727516	1759.0859085532943	2190.6221452305695	503.73667843851945	2e+04	1:21
5.5%	111000	1109.9999999991355	434.685739052773	1717.845585735285	2152.531324788058	491.92698618127116	2e+04	1:21
5.6%	112000	1119.9999999991264	466.4800777045979	1701.7495030658108	2168.2295807704086	487.3176676821758	1.99e+04	1:21
5.7%	113000	1129.9999999991173	429.4822350774557	1721.6211143408527	2151.1033494183084	493.0081569358493	1.99e+04	1:21
5.7%	114000	1139.9999999991082	414.8305461750824	1664.861551268391	2079.6920974434734	476.7543323598466	1.99e+04	1:21
5.8%	115000	1149.9999999990991	459.5770542464088	1676.407662965545	2135.9847172119535	480.0607086584253	1.99e+04	1:21
5.8%	116000	1159.99999999909	437.59693952220186	1701.9474239865324	2139.544363508734	487.3743448613362	1.99e+04	1:21
5.8%	117000	1169.999999999081	410.8672813765479	1715.1786742202141	2126.045955596762	491.1632820655375	1.99e+04	1:21
5.9%	118000	1179.9999999990719	460.63199120705394	1623.8715954891147	2084.503586696169	465.01633589634486	1.99e+04	1:21
6.0%	119000	1189.9999999990628	452.8158492087423	1721.1896837459788	2174.0055329547213	492.8846112842232	1.99e+04	1:21
6.0%	120000	1199.9999999990537	417.51991811566404	1685.0234905957009	2102.543408711365	482.52796075299926	1.99e+04	1:21
6.0%	121000	1209.9999999990446	446.15200361001826	1642.896904434147	2089.0489080441653	470.46447568737926	1.99e+04	1:21
6.1%	122000	1219.9999999990355	411.22418218065593	1698.1651874561103	2109.3893696367663	486.29125320694936	1.99e+04	1:21
6.2%	123000	1229.9999999990264	536.9942403281075	1595.2764746642638	2132.2707149923713	456.82775845744925	2e+04	1:21
6.2%	124000	1239.9999999990173	410.12974119628734	1638.5717637759028	2048.7015049721904	469.22591651390763	2e+04	1:21
6.2%	125000	1249.9999999990082	428.2428551575548	1666.0278586443687	2094.2707138019236	477.08831934749554	2e+04	1:21
6.3%	126000	1259.999999998999	490.71530428053757	1671.602982087698	2162.3182863682355	478.6848270288839	2e+04	1:21
6.3%	127000	1269.99999999899	484.1699461925332	1755.003475814742	2239.173422007275	502.5676217724022	2e+04	1:21
6.4%	128000	1279.999999998981	378.02866303487644	1824.727521279179	2202.7561843140556	522.5339911798163	2e+04	1:21
6.5%	129000	1289.9999999989718	515.2867206321416	1626.1351618256297	2141.421882457771	465.66453697750694	2e+04	1:20
6.5%	130000	1299.9999999989627	333.45329268468777	1686.4746783702908	2019.9279710549786	482.9435268750448	2e+04	1:20
6.5%	131000	1309.9999999989536	437.0417100490522	1612.0349978157979	2049.07670786485	461.62677523476606	2e+04	1:20
6.6%	132000	1319.9999999989445	465.8767170306528	1472.0593395706335	1937.9360566012863	421.54296079238105	2e+04	1:20
6.7%	133000	1329.9999999989354	424.550072475255	1523.9862615677396	1948.5363340429944	436.41289697979033	2e+04	1:20
6.7%	134000	1339.9999999989263	366.2614408800673	1652.8238303106202	2019.0852711906875	473.3071774814222	2e+04	1:20
6.8%	135000	1349.9999999989172	508.13033031317843	1623.4345016550376	2131.564831968216	464.891168503966	2e+04	1:20
6.8%	136000	1359.9999999989082	376.1256809112788	1679.4461311586338	2055.5718120699125	480.9308127662949	2e+04	1:20
6.8%	137000	1369.999999998899	504.2605737582562	1544.4005994983243	2048.6611732565807	442.2588029310986	2e+04	1:20
6.9%	138000	1379.99999999889	484.9103233069327	1586.0388032454562	2070.949126552389	454.1824334654234	2e+04	1:20
7.0%	139000	1389.9999999988809	456.57666000298923	1581.5910122726384	2038.1676722756276	452.90875181056964	2e+04	1:20
